,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,1,0,0,0,0
,,,,,2,0,0,0,0,0,0,0,0,0,0,0
,,,,,2,0,1,0,1,0,2,0,1,0,2,1
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,2,0,0,0,0,0,0,0,0,0,0,1
,,,,,0,0,1,0,1,0,0,0,0,0,0,0
,,,,,0,0,0,1,3,0,0,2,3,0,0,0
,,,,,0,2,4,3,2,3,3,0,3,2,0,0
Possession of Weapons,Hackney,322,,,2,0,4,2,6,1,7,3,4,8,2,1
,,,,,0,0,3,2,4,4,3,2,4,2,0,0
,,,,,8,15,13,9,11,10,7,9,13,12,8,12
,,,,,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,3,2,2,5,6,6,2,2,2,0,2,2
Public Order Offences,Hackney,1930,,,2,1,2,5,4,5,6,4,3,4,5,3
,,,,,4,0,5,3,3,4,4,2,0,1,1,1
,,,,,1,0,0,1,2,0,3,0,0,1,0,1
,,,,,0,1,0,1,2,0,0,1,1,0,2,0
Robbery,Hackney,2047,,,11,9,8,11,9,7,13,8,7,10,2,12
,,,,,0,0,0,0,0,0,0,0,4,5,0,2
Sexual Offences,Hackney,706,,,13,15,26,10,12,9,7,17,8,13,12,13
,,,,,1,4,2,1,2,1,2,2,3,3,1,0
Theft,Hackney,10774,,,2,3,4,6,4,4,3,3,7,3,3,4
,,,,,12,9,19,11,9,9,7,11,7,11,9,7
,,,,,21,23,28,33,38,26,29,26,43,37,35,26
,,,,,89,112,113,102,124,105,135,96,130,134,108,96
,,,,,23,30,32,52,41,32,40,45,23,40,37,29
,,,,,0,0,1,0,0,1,0,0,0,0,0,0
,,,,,9,10,14,11,7,19,13,9,10,6,10,6
,,,,,85,76,93,82,99,98,91,87,79,94,86,73
,,,,,53,41,47,43,43,58,61,38,41,36,60,36
,,,,,49,39,31,38,48,46,45,35,23,48,46,34
,,,,,15,12,18,15,21,22,31,16,28,21,17,16
,,,,,244,270,305,306,309,310,393,302,243,276,257,278
,,,,,134,131,136,142,139,141,140,158,145,156,187,105
,,,,,39,51,37,56,56,57,46,47,41,42,49,50
,,,,,5,2,3,6,3,4,1,4,4,4,8,9
,,,,,59,62,56,49,40,43,42,41,65,79,62,59
,,,,,269,255,229,203,187,195,235,294,304,370,344,361
,,,,,98,72,98,116,104,79,79,86,117,108,99,105
,,,,,0,0,1,0,0,1,2,0,0,1,0,2
,,,,,291,244,300,271,273,302,361,308,301,268,308,316
